X1	X2	u1	u2	u3	Label
-0.04	-0.02	0.534	1.000	0.029	1
-0.16	0.07	1.000	0.108	0.000	1
-0.22	0.16	1.000	0.003	0.000	1
-0.28	0.09	1.000	0.042	0.000	1
-0.38	0.09	1.000	0.050	0.000	1
-0.15	0.05	1.000	0.217	0.001	1
-0.22	0.05	1.000	0.164	0.000	1
-0.13	0.05	1.000	0.183	0.001	1
-0.38	-0.19	0.151	1.000	0.000	1
0.01	0.10	1.000	0.090	0.156	1
-0.11	0.15	1.000	0.006	0.004	1
-0.39	-0.05	0.466	1.000	0.000	1
-0.03	-0.07	0.187	1.000	0.028	1
-0.26	0.12	1.000	0.015	0.000	1
-0.13	-0.07	0.322	1.000	0.001	1
-0.14	-0.09	0.271	1.000	0.001	1
-0.30	0.13	1.000	0.008	0.000	1
-0.57	0.00	0.579	1.000	0.000	1
-0.10	0.18	1.000	0.002	0.006	1
-0.22	-0.05	0.547	1.000	0.000	1
-0.26	0.01	1.000	0.498	0.000	1
-0.12	0.09	1.000	0.071	0.002	1
-0.27	0.11	1.000	0.019	0.000	1
-0.08	0.11	1.000	0.040	0.008	1
-0.15	0.08	1.000	0.072	0.000	1
-0.31	0.04	1.000	0.201	0.000	1
-0.06	0.01	1.000	0.832	0.021	1
-0.11	0.11	1.000	0.034	0.003	1
-0.00	0.03	1.000	0.763	0.130	1
-0.30	0.10	1.000	0.030	0.000	1
-0.30	0.16	1.000	0.003	0.000	1
-0.13	-0.14	0.158	1.000	0.002	1
-0.08	0.23	1.000	0.000	0.020	1
-0.06	0.01	1.000	0.930	0.021	1
-0.17	0.18	1.000	0.001	0.000	1
-0.21	0.20	1.000	0.000	0.000	1
-0.08	-0.07	0.276	1.000	0.006	1
0.10	0.08	0.493	0.185	1.000	1
-0.05	0.38	0.756	0.000	1.000	1
-0.16	0.04	1.000	0.221	0.000	1
-0.25	0.11	1.000	0.024	0.000	1
-0.10	0.09	1.000	0.056	0.003	1
-0.24	0.18	1.000	0.001	0.000	1
-0.14	0.16	1.000	0.003	0.001	1
-0.07	-0.02	0.588	1.000	0.012	1
-0.05	0.02	1.000	0.644	0.030	1
-0.09	0.09	1.000	0.057	0.005	1
0.02	0.06	1.000	0.368	0.201	1
0.08	0.29	0.091	0.000	1.000	1
-0.44	0.10	1.000	0.039	0.000	1
-0.42	0.10	1.000	0.037	0.000	1
-0.30	-0.01	1.000	0.803	0.000	1
-0.45	-0.05	0.364	1.000	0.000	1
-0.22	0.13	1.000	0.008	0.000	1
-0.22	0.05	1.000	0.187	0.000	1
-0.14	0.12	1.000	0.017	0.001	1
-0.13	-0.01	0.997	1.000	0.002	1
-0.27	0.14	1.000	0.006	0.000	1
-0.29	-0.10	0.290	1.000	0.000	1
-0.06	0.20	1.000	0.001	0.028	1
-0.23	0.14	1.000	0.007	0.000	1
-0.36	0.07	1.000	0.086	0.000	1
-0.17	-0.04	0.613	1.000	0.000	1
-0.15	0.03	1.000	0.369	0.001	1
-0.23	0.09	1.000	0.051	0.000	1
-0.08	0.17	1.000	0.003	0.011	1
-0.14	-0.03	0.700	1.000	0.001	1
-0.20	0.18	1.000	0.001	0.000	1
-0.18	0.31	1.000	0.000	0.002	1
-0.11	0.02	1.000	0.531	0.003	1
-0.23	0.11	1.000	0.026	0.000	1
-0.32	0.00	1.000	0.562	0.000	1
-0.20	-0.09	0.299	1.000	0.000	1
-0.16	0.20	1.000	0.001	0.001	1
-0.10	0.13	1.000	0.017	0.004	1
-0.18	0.02	1.000	0.440	0.000	1
-0.24	0.07	1.000	0.077	0.000	1
-0.09	0.04	1.000	0.301	0.005	1
-0.19	-0.07	0.405	1.000	0.000	1
